"Female_1","Female_2","Female_3","Male_1","Male_2","Male_3","ENSEMBL_ID","MGI_symbol","Description"
778,605,494,704,593,794,"ENSMUSG00000000339","Rtca","RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]"
421,172,230,343,272,354,"ENSMUSG00000000340","Dbt","dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]"
4615,3900,3237,5375,4441,4695,"ENSMUSG00000000346","Dazap2","DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]"
1133,881,986,816,676,564,"ENSMUSG00000000355","Mcts1","malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]"
24,6,15,11,29,4,"ENSMUSG00000000365","Rnf17","ring finger protein 17 [Source:MGI Symbol;Acc:MGI:1353419]"
180,243,361,254,453,279,"ENSMUSG00000000374","Trappc10","trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]"
828,668,537,737,584,594,"ENSMUSG00000000378","Ccm2","cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]"
60,53,47,47,33,80,"ENSMUSG00000000384","Tbrg4","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
64,45,28,63,112,64,"ENSMUSG00000000385","Tmprss2","transmembrane protease, serine 2 [Source:MGI Symbol;Acc:MGI:1354381]"
95,43,51,13,6,16,"ENSMUSG00000000392","Fap","fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608]"
1691,1442,1213,1849,1348,1293,"ENSMUSG00000000399","Ndufa9","NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]"
243,169,141,163,145,219,"ENSMUSG00000000409","Lck","lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]"
491,307,380,640,877,1438,"ENSMUSG00000000416","Cttnbp2","cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]"
740,576,837,945,1305,795,"ENSMUSG00000000420","Galnt1","polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]"
498,420,389,682,521,528,"ENSMUSG00000000439","Mkrn2","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
14,5,3,7,3,13,"ENSMUSG00000000440","Pparg","peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]"
675,391,440,840,882,965,"ENSMUSG00000000441","Raf1","v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]"
10,14,9,16,23,29,"ENSMUSG00000000486","Sept1","septin 1 [Source:MGI Symbol;Acc:MGI:1858916]"
6,4,17,22,26,27,"ENSMUSG00000000489","Pdgfb","platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]"
33,4,9,65,16,23,"ENSMUSG00000000530","Acvrl1","activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]"
83,206,221,152,326,130,"ENSMUSG00000000531","Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:MGI Symbol;Acc:MGI:1860303]"
22,27,26,21,41,46,"ENSMUSG00000000532","Acvr1b","activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]"
5188,4439,4186,6350,5293,5385,"ENSMUSG00000000538","Tom1l2","target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]"
23,60,38,45,52,45,"ENSMUSG00000000544","Gpa33","glycoprotein A33 (transmembrane) [Source:MGI Symbol;Acc:MGI:1891703]"
187,303,281,432,488,391,"ENSMUSG00000000552","Zfp385a","zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]"
44,22,16,46,26,58,"ENSMUSG00000000555","Itga5","integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]"
1190,641,670,534,461,732,"ENSMUSG00000000560","Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]"
789,596,539,694,651,539,"ENSMUSG00000000561","Wdr77","WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]"
4765,3916,3806,4966,3989,3820,"ENSMUSG00000000563","Atp5pb","ATP synthase peripheral stalk-membrane subunit b [Source:MGI Symbol;Acc:MGI:1100495]"
367,239,143,511,549,438,"ENSMUSG00000000567","Sox9","SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]"
160,165,389,190,536,204,"ENSMUSG00000000568","Hnrnpd","heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]"
2490,3986,3513,3857,3934,2585,"ENSMUSG00000000579","Dynlt1c","dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]"
942,848,928,1108,897,772,"ENSMUSG00000000581","C1d","C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]"
2617,3416,2302,5032,4037,4586,"ENSMUSG00000000594","Gm2a","GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
866,577,716,1102,1277,1016,"ENSMUSG00000000600","Krit1","KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]"
2634,1650,1785,2343,2399,2282,"ENSMUSG00000000605","Clcn4","chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]"
200,249,274,476,395,306,"ENSMUSG00000000627","Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]"
43,48,32,110,104,196,"ENSMUSG00000000628","Hk2","hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"
989,962,1139,1755,1365,1387,"ENSMUSG00000000631","Myo18a","myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]"
2998,3314,2358,4776,3185,4652,"ENSMUSG00000000632","Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]"
62,68,63,38,28,35,"ENSMUSG00000000673","Haao","3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]"
5,12,2,38,12,13,"ENSMUSG00000000682","Cd52","CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]"
27,22,11,58,30,56,"ENSMUSG00000000686","Abhd15","abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]"
16,7,3,21,3,8,"ENSMUSG00000000693","Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]"
51,50,80,130,150,118,"ENSMUSG00000000708","Kat2b","K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]"
918,948,1070,1310,1151,1061,"ENSMUSG00000000711","Rab5b","RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]"
63,58,21,11,1,2,"ENSMUSG00000000730","Dnmt3l","DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287]"
45,53,23,63,56,86,"ENSMUSG00000000732","Icosl","icos ligand [Source:MGI Symbol;Acc:MGI:1354701]"
1855,1487,1260,1832,1348,1472,"ENSMUSG00000000738","Spg7","SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]"
27,39,18,169,81,135,"ENSMUSG00000000739","Sult5a1","sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]"
12193,11459,8530,10065,6476,8062,"ENSMUSG00000000740","Rpl13","ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]"
2947,3110,2600,3942,3287,2954,"ENSMUSG00000000743","Chmp1a","charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]"
1124,929,829,1692,1363,1189,"ENSMUSG00000000751","Rpa1","replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]"
69,41,25,131,39,84,"ENSMUSG00000000753","Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
1217,1333,1066,1668,3739,1586,"ENSMUSG00000000759","Tubgcp3","tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
898,555,527,745,864,799,"ENSMUSG00000000776","Polr3d","polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]"
3,2,6,19,12,15,"ENSMUSG00000000782","Tcf7","transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]"
7749,7372,6530,5182,5968,6707,"ENSMUSG00000000787","Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"
0,4,4,4,13,11,"ENSMUSG00000000791","Il12rb1","interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]"
13,32,21,23,26,15,"ENSMUSG00000000792","Slc5a5","solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]"
77,112,119,237,228,177,"ENSMUSG00000000794","Kcnn3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]"
112,118,177,195,227,259,"ENSMUSG00000000804","Usp32","ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]"
176,238,189,200,257,192,"ENSMUSG00000000811","Txnrd3","thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]"
372,225,438,513,665,588,"ENSMUSG00000000823","Zfp512b","zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]"
2881,2523,2335,3232,3095,3126,"ENSMUSG00000000826","Dnajc5","DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]"
1973,1471,1409,1990,1711,1707,"ENSMUSG00000000827","Tpd52l2","tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]"
582,449,718,645,1034,823,"ENSMUSG00000000838","Fmr1","fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]"
239,213,263,193,178,150,"ENSMUSG00000000861","Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]"
222,185,224,281,220,240,"ENSMUSG00000000876","Pxmp4","peroxisomal membrane protein 4 [Source:MGI Symbol;Acc:MGI:1891701]"
499,390,337,469,422,371,"ENSMUSG00000000881","Dlg3","discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]"
178,159,147,210,174,155,"ENSMUSG00000000884","Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
33,4,13,0,1,8,"ENSMUSG00000000889","Dbh","dopamine beta hydroxylase [Source:MGI Symbol;Acc:MGI:94864]"
44,56,45,118,73,33,"ENSMUSG00000000901","Mmp11","matrix metallopeptidase 11 [Source:MGI Symbol;Acc:MGI:97008]"
1102,859,926,1373,1200,1124,"ENSMUSG00000000902","Smarcb1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]"
5,10,8,19,22,11,"ENSMUSG00000000903","Vpreb3","pre-B lymphocyte gene 3 [Source:MGI Symbol;Acc:MGI:98938]"
2188,1919,1814,2624,1772,2067,"ENSMUSG00000000915","Hip1r","huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]"
193,119,142,261,157,163,"ENSMUSG00000000916","Nsun5","NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]"
355,161,215,303,346,248,"ENSMUSG00000000934","Top1mt","DNA topoisomerase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1920210]"
789,1008,859,1462,1315,1007,"ENSMUSG00000000957","Mmp14","matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]"
492,328,307,71,48,35,"ENSMUSG00000000958","Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]"
690,458,469,567,408,479,"ENSMUSG00000000959","Oxa1l","oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]"
609,533,564,867,759,746,"ENSMUSG00000000976","Heatr6","HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]"
52,9,6,53,12,21,"ENSMUSG00000000982","Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
1856,1326,1274,2214,1870,1975,"ENSMUSG00000001016","Ilf2","interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]"
2117,1689,1727,2411,2043,2055,"ENSMUSG00000001017","Chtop","chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]"
1661,1280,1248,1820,1596,1339,"ENSMUSG00000001018","Snapin","SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]"
44,40,18,85,31,41,"ENSMUSG00000001025","S100a6","S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]"
20,19,15,40,21,67,"ENSMUSG00000001027","Scn4a","sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]"
51,14,12,56,31,9,"ENSMUSG00000001029","Icam2","intercellular adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:96394]"
147,92,157,250,185,184,"ENSMUSG00000001034","Mapk7","mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347]"
284,232,329,545,529,505,"ENSMUSG00000001036","Epn2","epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]"
604,693,482,643,507,586,"ENSMUSG00000001039","B9d1","B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]"
1276,1080,1077,1508,2219,1780,"ENSMUSG00000001052","Sec24b","Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]"
139,194,120,163,185,178,"ENSMUSG00000001053","N4bp3","NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218]"
979,737,582,1082,954,993,"ENSMUSG00000001054","Rmnd5b","required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339]"
468,271,227,296,208,316,"ENSMUSG00000001056","Nhp2","NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"
527,477,462,664,699,805,"ENSMUSG00000001062","Vps9d1","VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143]"
185,147,212,354,343,365,"ENSMUSG00000001065","Zfp276","zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]"
984,578,538,679,603,672,"ENSMUSG00000001082","Mfsd10","major facilitator superfamily domain containing 10 [Source:MGI Symbol;Acc:MGI:1915544]"
356,367,363,566,676,436,"ENSMUSG00000001089","Luzp1","leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629]"
402,313,250,474,406,345,"ENSMUSG00000001098","Kctd10","potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]"
2593,1915,1825,2417,1744,1791,"ENSMUSG00000001100","Poldip2","polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]"
1776,1142,1056,1468,954,1000,"ENSMUSG00000001105","Ift20","intraflagellar transport 20 [Source:MGI Symbol;Acc:MGI:1915585]"
103,108,81,192,129,109,"ENSMUSG00000001119","Col6a1","collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]"
1969,1649,1522,2310,1837,1950,"ENSMUSG00000001120","Pcbp3","poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]"
183,94,71,348,167,234,"ENSMUSG00000001123","Lgals9","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
6440,5441,4896,6562,7227,6561,"ENSMUSG00000001127","Araf","Araf proto-oncogene, serine/threonine kinase [Source:MGI Symbol;Acc:MGI:88065]"
15,4,10,13,38,25,"ENSMUSG00000001128","Cfp","complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]"
136,158,90,126,155,209,"ENSMUSG00000001131","Timp1","tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]"
259,237,194,264,261,253,"ENSMUSG00000001134","Uxt","ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]"
51,56,71,80,88,59,"ENSMUSG00000001138","Cnnm3","cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]"
2141,2005,1899,2795,2464,2149,"ENSMUSG00000001143","Lman2l","lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]"
659,653,598,992,902,701,"ENSMUSG00000001150","Mcm3ap","minichromosome maintenance complex component 3 associated protein [Source:MGI Symbol;Acc:MGI:1930089]"
621,559,478,848,821,828,"ENSMUSG00000001151","Pcnt","pericentrin (kendrin) [Source:MGI Symbol;Acc:MGI:102722]"
739,953,913,1075,1350,1401,"ENSMUSG00000001156","Mxd1","MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]"
369,270,345,605,520,449,"ENSMUSG00000001157","Gmcl1","germ cell-less, spermatogenesis associated 1 [Source:MGI Symbol;Acc:MGI:1345156]"
408,372,408,518,413,304,"ENSMUSG00000001158","Snrnp27","small nuclear ribonucleoprotein 27 (U4/U6.U5) [Source:MGI Symbol;Acc:MGI:1913868]"
83,71,45,87,82,80,"ENSMUSG00000001166","Oas1c","2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol;Acc:MGI:2149633]"
1207,862,790,1273,1139,1390,"ENSMUSG00000001173","Ocrl","OCRL, inositol polyphosphate-5-phosphatase [Source:MGI Symbol;Acc:MGI:109589]"
10890,9155,8028,12902,10568,9986,"ENSMUSG00000001175","Calm1","calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]"
871,912,1191,1321,1417,932,"ENSMUSG00000001211","Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]"
334,332,380,603,549,473,"ENSMUSG00000001227","Sema6b","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]"
25,35,28,96,34,69,"ENSMUSG00000001228","Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]"
1144,998,958,1252,1175,1119,"ENSMUSG00000001229","Dpp9","dipeptidylpeptidase 9 [Source:MGI Symbol;Acc:MGI:2443967]"
42,20,13,75,13,31,"ENSMUSG00000001240","Ramp2","receptor (calcitonin) activity modifying protein 2 [Source:MGI Symbol;Acc:MGI:1859650]"
1351,1203,934,1289,1001,1229,"ENSMUSG00000001247","Lsr","lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471]"
2089,1647,1568,2472,3009,2555,"ENSMUSG00000001248","Gramd1a","GRAM domain containing 1A [Source:MGI Symbol;Acc:MGI:105490]"
14,18,8,22,8,14,"ENSMUSG00000001249","Hpn","hepsin [Source:MGI Symbol;Acc:MGI:1196620]"
35,24,30,28,34,31,"ENSMUSG00000001260","Gabrg1","gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1 [Source:MGI Symbol;Acc:MGI:103156]"
12809,12568,9321,10984,9963,8712,"ENSMUSG00000001270","Ckb","creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
231,164,205,210,285,258,"ENSMUSG00000001280","Sp1","trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372]"
7,9,6,35,9,12,"ENSMUSG00000001281","Itgb7","integrin beta 7 [Source:MGI Symbol;Acc:MGI:96616]"
541,497,478,617,461,506,"ENSMUSG00000001285","Myg1","melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864]"
65,35,70,99,70,60,"ENSMUSG00000001288","Rarg","retinoic acid receptor, gamma [Source:MGI Symbol;Acc:MGI:97858]"
1679,2364,1729,1903,1372,1409,"ENSMUSG00000001289","Pfdn5","prefoldin 5 [Source:MGI Symbol;Acc:MGI:1928753]"
70,58,114,130,203,83,"ENSMUSG00000001300","Efnb2","ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]"
214,135,116,197,209,248,"ENSMUSG00000001305","Rrp15","ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914473]"
1000,869,778,517,362,444,"ENSMUSG00000001313","Rnd2","Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]"
446,409,415,514,415,417,"ENSMUSG00000001323","Srr","serine racemase [Source:MGI Symbol;Acc:MGI:1351636]"
49,28,35,22,31,43,"ENSMUSG00000001333","Sync","syncoilin [Source:MGI Symbol;Acc:MGI:1916078]"
39,59,71,75,88,60,"ENSMUSG00000001334","Fndc5","fibronectin type III domain containing 5 [Source:MGI Symbol;Acc:MGI:1917614]"
12,3,5,13,5,8,"ENSMUSG00000001349","Cnn1","calponin 1 [Source:MGI Symbol;Acc:MGI:104979]"
1506,1233,1044,2202,1682,1533,"ENSMUSG00000001366","Fbxo9","f-box protein 9 [Source:MGI Symbol;Acc:MGI:1918788]"
989,635,680,1049,976,790,"ENSMUSG00000001376","Vps50","VPS50 EARP/GARPII complex subunit [Source:MGI Symbol;Acc:MGI:1920538]"
1256,872,880,1158,768,969,"ENSMUSG00000001380","Hars","histidyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:108087]"
